,sample
96,TCGA.OR.A5JM.01.1
97,TCGA.OR.A5JO.01.1
98,TCGA.OR.A5JP.01.1
99,TCGA.OR.A5JQ.01.1
100,TCGA.OR.A5JR.01.1
101,TCGA.OR.A5JS.01.1
102,TCGA.OR.A5JT.01.1
103,TCGA.OR.A5JV.01.1
104,TCGA.OR.A5JW.01.1
105,TCGA.OR.A5JX.01.1
106,TCGA.OR.A5JY.01.1
107,TCGA.OR.A5JZ.01.1
108,TCGA.OR.A5K0.01.1
109,TCGA.OR.A5K1.01.1
110,TCGA.OR.A5K2.01.1
111,TCGA.OR.A5K3.01.1
112,TCGA.OR.A5K4.01.1
113,TCGA.OR.A5K5.01.1
114,TCGA.OR.A5K6.01.1
115,TCGA.OR.A5K8.01.1
116,TCGA.OR.A5K9.01.1
117,TCGA.OR.A5KO.01.1
118,TCGA.OR.A5KT.01.1
119,TCGA.OR.A5KU.01.1
120,TCGA.OR.A5KV.01.1
121,TCGA.OR.A5KW.01.1
122,TCGA.OR.A5KX.01.1
123,TCGA.OR.A5KY.01.1
124,TCGA.OR.A5KZ.01.1
125,TCGA.OR.A5L3.01.1
126,TCGA.OR.A5L4.01.1
127,TCGA.OR.A5L5.01.1
128,TCGA.OR.A5L6.01.1
129,TCGA.OR.A5L8.01.1
130,TCGA.OR.A5L9.01.1
131,TCGA.OR.A5LA.01.1
132,TCGA.OR.A5LB.01.1
133,TCGA.OR.A5LC.01.1
134,TCGA.OR.A5LD.01.1
135,TCGA.OR.A5LE.01.1
136,TCGA.OR.A5LG.01.1
137,TCGA.OR.A5LH.01.1
138,TCGA.OR.A5LJ.01.1
139,TCGA.OR.A5LK.01.1
140,TCGA.OR.A5LL.01.1
141,TCGA.OR.A5LM.01.1
142,TCGA.OR.A5LN.01.1
143,TCGA.OR.A5LO.01.1
144,TCGA.OR.A5LP.01.1
145,TCGA.OR.A5LR.01.1
146,TCGA.OR.A5LS.01.1
147,TCGA.OR.A5LT.01.1
148,TCGA.OU.A5PI.01.1
149,TCGA.P6.A5OG.01.1
150,TCGA.PA.A5YG.01.1
151,TCGA.PK.A5H9.01.1
152,TCGA.PK.A5HA.01.1
153,TCGA.PK.A5HB.01.1
154,TCGA.OR.A5LD.01.2
155,TCGA.OR.A5LE.01.2
156,TCGA.OR.A5LG.01.2
157,TCGA.OR.A5LH.01.2
158,TCGA.OR.A5LJ.01.2
